tid;konc
0.231756251;0.805903412
0.17399052;6.336069513
3.205728606;22.17729815
3.059388756;36.18705227
6.229764595;38.75588227
10.80577321;42.79412804
15.76784945;43.88162809
21.44814628;44.22912506
27.10148577;47.15736621
36.36133236;44.91088102
44.19243988;43.40704651
51.32843312;40.43114863
59.14413644;40.40202507
70.19568344;36.67420993
81.86532375;41.79201296
92.49999473;43.96436546
96.041034;45.0571607
98.8638527;46.88995902
106.679556;46.86083546
113.7770388;47.57171498
120.9014789;45.70185032
128.7595437;41.61727163
135.6018945;32.7438537
146.2904802;29.75471784
157.7049885;25.28822343
173.0080932;22.65055593
194.1262815;7.456664511
86.71186854;53.93984521
84.17884126;58.37324468
82.29471568;68.70284039
80.7697004;78.66243456
79.17921729;94.88955031
79.10219631;102.2631051
78.15291281;125.1237726
