min; mU/l
7.896642294;5.821111663
8.33960389;5.539575495
8.399233336;5.258086652
8.603677149;4.102505856
7.692198481;4.310025792
9.148860652;3.909845957
10.11145027;3.746764156
10.70774473;3.598542391
11.35515014;3.494758761
13.06736708;3.316769598
14.66032512;3.035091455
15.92106197;2.797898772
17.91438915;2.530986015
19.55845815;2.293746007
21.88400653;1.982347791
24.29473983;1.745013133
27.1739902;1.581694707
28.85213317;1.374080121
30.19805494;1.210950995
32.69397317;1.047679894
35.15581742;0.85478337
37.26840349;0.691559594
41.69801945;0.54286458
46.19578335;0.453420411
52.29502378;0.423037789
61.63129126;0.540403682
72.44977639;0.613142141
82.46752325;0.656349826
91.03712643;0.773810369
102.1707958;0.787250657
116.3881593;0.815125056
130.5884858;0.828186744
151.1521261;0.707129505
180.2172216;0.644281962
210.5345354;0.670168713
240.4344431;0.666477367
