time;;conc
0.87;5.53;30.69561935
2.18;5.05;28.0312618
4.8;4.64;25.75545638
7.85;4.35;24.14574036
11.78;4.02;22.31399454
14.84;3.71;20.59326362
19.2;3.38;18.7615178
24;3.11;17.26281667
28.8;2.9;16.09716024
31.85;2.69;14.93150381
34.91;2.51;13.93236972
40.15;2.24;12.4336686
45.38;2.09;11.60105686
50.62;1.96;10.87946002
59.78;1.71;9.491773796
69.82;1.56;8.65916206
79.42;1.4;7.771042874
89.45;1.29;7.160460934
99.93;1.2;6.660893892
114.33;1.03;5.717267257
129.6;0.95;5.273207664
149.67;0.84;4.662625724
179.78;0.72;3.996536335
209.45;0.73;4.052043784
240;0.76;4.218566132
