time;mu/l;conc
0.4;3.1;66.88414803
3.8;24;517.8127589
9.5;19.8;427.1955261
15.1;20.2;435.8257387
22;21.7;468.1890362
28.4;22.9;494.0796741
44.7;19.4;418.5653134
52.2;18.6;401.3048882
59.8;16.7;360.3113781
70.8;15.9;343.0509528
79.5;127.1;2742.250069
81.8;102.7;2215.807097
84;42.2;910.4874344
93.1;10.1;217.9128694
96.9;7;151.0287213
100.7;5;107.8776581
108.3;3.1;66.88414803
114.7;1.9;40.99351008
122.6;1.6;34.52085059
130.6;1.6;34.52085059
148.8;1.2;25.89063795
159.7;0.8;17.2604253
174.1;0.8;17.2604253
