tid;conc
0;1,826876798
0,922859513;9,594789715
8,311879819;19,16664107
15,63822924;20,96730259
22,54185739;23,6838602
29,86452029;25,02739291
36,7128506;20,88701832
45,30367731;19,48286279
59,90845135;17,14151127
79,12506528;106,6683051
82,79315536;81,5114743
84,63764554;43,56159053
89,61813769;21,14261723
93,40050997;10,15677962
96,81545882;6,943770289
100,6568155;3,271993692
108,383767;1,413986257
115,2615895;0,930642172
124,7162914;-0,019661454
135,8987435;-0,062261272
158,6900556;-0,606228175
70,8414488;39,49986176
